,OrganizationName,OrganizationDescription
827,Signing Gator,Signing Gator shall serve to educate its members about American Sign Language and Deaf culture and provide opportunities for engagement within the Deaf community.
828,Sikh Students Association,"An organization that strives to support and engage students, local communities and the wider world in an active and philosophical exploration of Sikhism and dispel mis-perceptions and invoke understanding by spreading awareness."
829,"SISTUHS, Incorporated","The mission of SISTUHS, Incorporated is to improve the social disposition of underrepresented populations through community development, education and the provision of other social services in our respective communities."
830,Skate’n Roll,Skate’n Roll promotes a fun and safe setting for students to practice rollerblading and skating in a culturally diverse environment.
831,SKY,"The purpose of the SKY group is to teach practical, easy-to-follow techniques to handle stress to become efficient in handling life's challenges. We organize regular free yoga/meditation workshops for students as well as hold periodic self-development and awareness workshops taught by trained Art of Living and IAHV instructors. SKY also conducts weekly followup sessions and coordinates community service projects."
832,Smiley Gator,To advance optimal oral health for all children by delivering outstanding service that meets and exceeds the needs and expectations of our members and partner with a focus on community service and evidence-based dentistry
833,Snacks in Yaks,The purpose of Snacks in Yaks is to promote kayaking at the University. Our goal is to create a stimulating social environment centered around the shared interest of kayaking. The function of this organization is to provide an organization that makes it easy and fun for people to engage in the pastime of kayaking.
834,Social Entrepreneurship Students,"Social Entrepreneurship Students is a social entrepreneurship organization composed of academic and business leaders committed to using the power of entrepreneurial action to transform lives and shape a better, more sustainable world. The organization will meet regularly to manage project operations, develop its members, and discuss new impact-oriented projects."
835,Society for Advancement of Chicanos/Hispanics and Native Americans in Science Florida Chapter,"Our organization's purpose statement as written in the constitution is:
1. To further the work of, to improve the effectiveness of, and to enhance the public understanding of and appreciation for Chicanos, Latinos, Native Americans, Alaska Natives, Native Hawaiians and other underrepresented minorities in science.
2. To cooperate with other individuals, organizations, clubs, and other groups whose purposes include the achievement of public understanding for Chicanos, Latinos, Native Americans, Alaska Natives, Native Hawaiians and other underrepresented minorities in the sciences.
3. To promote student recruitment and retention of Chicanos, Latinos, Native Americans, Alaska Natives, Native Hawaiians and other underrepresented minorities in science at the University of Florida.
4. To provide a forum for students from different science majors and science related majors to come together for academic, community service and social activities at the University of Florida."
836,Society For Biomaterials,"The University of Florida Chapter of the Society for Biomaterials (SFB) is part of the larger national organization. The chapter is composed of both undergraduate and graduate students spanning many biomaterial-related concentrations and departments. Each semester, we host general body meetings to discuss current advancements in biomaterials through presentations given by students and faculty. Other career advancing workshops are also provided. UF SFB also provides an environment to network with other students and faculty through social events. Our largest event is Biomaterials Day which is held annually in the spring. This one-day symposium provides an interdepartmental environment to discuss current biomaterial research through internal and external guest speakers, industry representatives, student poster sessions, and student presentations."
837,Society for Conservation Biology Florida Chapter,"The Society for Conservation Biology is an international professional organization which promotes the study of maintenance, loss, and restoration of biological diversity. The Florida chapter meets bimonthly to host guest speakers to talk on their research efforts. We also connect members with different opportunities and volunteering events. Additionally, we provide resources to learn about conservation and network with conservation professionals."
838,"Society for Early Music Performance, Research, and Analysis","The purpose of SEMPRA is to perform Medieval and Renaissance (c. 1100 – 1600) vocal music as part of current student academic research in the field of pre-modern Western music vocal repertoire. The purpose of SEMPRA is to engender and develop a spirit of fellowship, cooperation, and interdisciplinary collaboration among the members of the organization. The purpose of SEMPRA is to actively pursue the interests of student researchers at the university through the origination and implementation of projects and colloquia designed to meet their needs. The purpose of SEMPRA is to collectively represent the student musicians and researchers at the University of Florida to other campus organizations; the administrations of the University, College of Fine Arts, and School of Music; and the public through regular research presentations and meetings."
839,Society for Health Systems,"The purpose of the Society for Health Systems is to operate within the University of Florida's Institute of Industrial Engineers to promote and encourage an understanding of systems engineering, quality, and process improvement principles and applications in the healthcare field by providing appropriate education and career opportunities to students of the University of Florida."
840,"Society for Musicology, Analysis, Research and Theory","Promote an academic integration between musicology and theory in music composition, through seminars focusing on theoretical, compositional, performative, and historical research. We will present research by current students, faculty, and guest academics in regular colloquia focusing on musical analysis."
841,Society for Viral Studies,"We focus on informing members on current viral events, encourage hands-on learning through affordable travel, and facilitate involvement through shadowing and research."
842,Society of Aesthetics,"The purpose of the Society of Aesthetics is to explore and celebrate diverse art forms, fostering cultural understanding and intellectual enrichment. Our events, such as poetry nights and movie screenings, allow like-minded individuals to connect and appreciate various forms of global artistic expression."
843,Society of Asian Scientists and Engineers,"The Society of Asian Scientists and Engineers (SASE) at UF was established in 2010 as a student organization dedicated to the advancement of Asian heritage scientists and engineers. Above all, SASE is a welcoming community of driven individuals who celebrate culture and diversity, cultivating a unique balance between professional development and a supportive, fun community. Through our general body meetings, socials, workshops, and internal mentorship program, we aim to build our members’ relationships, skills and knowledge that will enable them to succeed. We also offer an intramural program (SASE Sports), an engineering team (SET), and a leadership development program (SASE Interns). UF SASE continues to provide more development opportunities to our members year after year, all while staying as welcoming as ever! Even if you're not a STEM major, or of Asian heritage, SASE welcomes you with open arms."
844,Society of Automotive Engineers,"The purpose of this organization is to promote interest in research, development, design, construction, and operation of ground, air and space vehicles, to further familiarize students with career opportunities in this area, and to further the educational and personal development of students."
845,Society of Composers Incorporated Student Chapter,"The Society of Composers Incorporated Student Chapter (SCI@UF) promotes contemporary classical music, particularly that written by UF student composers. SCI presents numerous concerts each semester, and hosts a variety of guest composers and performers to give free concerts of new music to the student body."
846,Society of Environmental Engineers,"SEE's purpose is to sponsor discussions and activities in Environmental Engineering Sciences in order to enhance the professional awareness of our members, as well as to offer services to the needs of the Department of Environmental Engineering Sciences (EES), its faculty and students, and the College of Engineering."
847,Society of Health and Medical Physics Students,"Our organization, through social and outreach activities, aims to educate people about radiation and radiological engineering and their medical applications."
848,Society of Hispanic Professional Engineers,"SHPE changes lives by empowering the Hispanic community to realize its fullest potential and to impact the world through STEM awareness, access, support and development.  SHPE's vision is a world where Hispanics are highly valued and influential as the leading innovators, scientists, mathematicians and engineers."
849,Society of Physics Students,"SPS strives to achieve both academic and social objectives. These include, but are not limited to, the advancement and sharing of knowledge and techniques associated with the science of physics, the encouragement of interest in physics throughout academic and local communities, providing networking opportunities for members with the Department of Physics at the University of Florida and other universities’ physics departments through national conventions and REU (Research Experiences for Undergraduates) programs, and fostering a platform where all individuals (including students, professors, and staff) can communicate and organize freely and openly about physics."
850,Society of Sales Engineers,"The Society of Sales Engineers is an organization that allows students of all majors to be more informed about the topics of engineering and business, with a specific focus of the merger point of these two fields, which is referred to as Sales Engineering. Our organization’s goal is to help the next generation of students gain valuable communication, networking, and social skills that will greatly benefit them when they take up managerial and leadership positions in the field of sales engineering. We also intend to educate students on the latest engineering news and trends so they have proficient technical knowledge regardless of what career or field they enter in their professional lives.

As we did last year, we will also be competing at the National Society of Sales Engineers Conference. 
We are a member chapter of the National Society of Sales Engineers, allowing students to connect with top sales engineers from across the country, as well as a national alumni network so that our members can attend panel discussions, workshops that build personal and proffesional skills, resume sessions, and the keynote event from NSSE, the National Society of Sales Engineers Conference in October."
851,Society of Software Developers,"The Society of Software Developers is focused on helping members learn the principles of software design and apply them to real-world applications. We are more academic in nature than other organizations and work to create a community where students can ask for feedback and assistance for the projects. The concepts discussed and used help with building complex software systems and better prepare members for team projects, internships, and careers in software development."
852,Society of Taiwanese and Hong Kong Students,"The objectives of STAHKS are:
1.	To promote awareness of Taiwanese and Hong Kong culture and their intersection with American culture using cultural and historical activities
2.	To provide a safe social environment for Taiwanese and Hong Kong heritage students on campus
3.	To promote Asian American diversity 
4.	To provide service opportunities on- and off-campus for UF students 
5.	To develop leadership skills for UF students with a Taiwanese, Hong Kong, and/or Asian perspective"
853,Society of Women Engineers,"We strive to encourage UF's female engineering students to achieve their full potential in careers as engineers and leaders. We host events for developing careers, promoting the presence of women in STEM, and ​building relationships with other female engineers."
854,Society of Young Behavior Analysts,The Society of Young Behavior Analysts is dedicated to disseminating information and opportunities regarding behavior analysis to undergraduate students and others in the Gainesville community.
855,Software Engineering Club,"The Software Engineering Club strives to expose beginner Computer Science students to practical software development technologies and concepts they will not learn or be exposed to in their first or second year. These are technologies and skills that are heavily used in the industry and the real world, but not taught in classes. This can benefit the student to get involved with other clubs, hackathons, get a part time internship doing development work, enable them to succeed in interviews, secure summer internships and full time roles, and become a more knowledgeable developer. 

CHECK OUR WEBSITE / FACEBOOK FOR MEETING TIMES. http://ufsec.com"
856,Soil and Water Sciences Graduate Student Association,"The purpose of the SWSGSA is to support and encourage graduate students’ academic, professional, social, university, and community involvement. Through the following objectives is how we plan to uphold our purpose:

I. To establish a community with the Soil and Water Sciences graduate students and faculty that supports the educational, professional, and research goals of the students.

II. To establish a community where graduate students can express ideas or concerns related to their education and quality of education at the University of Florida.

III. To provide graduate students an opportunity for professional development.

IV. To provide a social environment where graduate students can enjoy activities outside of academic life.

V. To orient new graduate students and establish a mentoring program for their benefit.

VI. To build ties to the community through service to the department, university, and the public."
857,Solace,"The purpose of Solace is to serve populations within UF Health Shands Hospital that do not receive much attention from those outside of the hospital staff. Solace members will provide the same level of care and companionship to underserved populations of the hospital that many patients within other units currently receive. Our mission statement is as follows: “We believe in the uplifting power of a smile. We are committed to bringing joy and laughter through companionship and strive to give ourselves to those who may be in a weak or lonely state, understanding that love and compassion have infinite healing capacity.”"
858,Solar Gator,"Solar Gator is a student organization driven by passionate, eco-minded student engineers and designers. We are committed to designing, building, and racing a compliant and successful solar-powered vehicle that competes in the Formula Sun Grand Prix and American Solar Challenge. Along the way, we aim to raise sustainability awareness amongst our peers, our community, and our world."
859,Sonic Computing Organization,"Sonic Computing Organization promotes the composition and performance of electroacoustic music, and provides opportunities for both instruction and professional development through peer review, sponsorship of guest composers/lecturers, trips to academic conferences, and annual concerts."
860,South Asian Student Association,The purpose of the South Asian Student Association (SASA) is to raise awareness for South Asian culture at the University of Florida. SASA will serve as a bridge between different South Asian students and cultural organizations in order to best serve the student body.
861,South Asian Student Dental Association,"SASDA’s primary purpose is to create a welcoming and inclusive community for dental students of South Asian heritage, as well as anyone interested in the rich cultural diversity of the South Asian subcontinent at University of Florida. SASDA will host a variety of events, meetings, and workshops for members to engage with each other and campus."
862,South Florida Graduate Student Organization,"The purpose of the South Florida Graduate Student Organization is to foster an inclusive environment for graduate students at the Tropical Research and Education Center in Homestead, FL and to engage with students at other RECs in South Florida. This organization allows students to interact on both a social and intellectual level."
863,SouthWest Florida Immokalee Graduate Student Organization,"The purpose is of SWFREC GSO Immokalee is to bring in opportunities for the students in
the remote UF/IFAS Extension Research Station who in turn form the backbone of the
Extension services that University of Florida aims to deliver. The opportunities to be
brought in, will be in the form of professional development courses, mentorship programs
for the scientists-in-the-making, networking events with other remote UF/IFAS Extension
Centers as well as build strong ties with UF main campus for upliftment of student's
professional and mental health contributing towards students' (who are scientists in the
making) overall development. Southwest Florida Research and Education Center
Graduate Student Organization is established for the purpose of professional and
academic development, to encourage communication and friendship across academic
disciplines, and to provide new and experienced graduate students at the Southwest
Florida Research and Education Center with a resource for acquainting oneself with the
Center’s and University’s work atmosphere, the south Florida region, and graduate
student life in general."
864,Space Systems Design Club,"The primary purpose of this organization is to facilitate the research, design, and development of space systems technology and to nurture the growing space community. These goals shall be achieved through student competitions with direct student involvement, creative research methods, and informative guest speakers from the space community, while maintaining an encouraging and stimulating environment for all STEM disciplines. This organization shall be non-profit and non-commercial in nature."
865,Sparks Magazine,"Florida's Asian American magazine
The purpose of Sparks Magazine will be:
i. To create a publication that provides an outlet to articulate the APIA perspective.
ii. To connect APIA students locally and nationwide.
ii. To increase cultural awareness within the University of Florida and beyond.
iii. To provide the APIA community with a source of inspiration and motivation.
iv. To provide APIA students with the resources to foster skills in media-related industries."
866,Special Olympics College,"Special Olympics College at UF functions as an official club on campus and connects college students and individuals with intellectual disabilities through sport to build friendships and help lead the social justice movement of Special Olympics. 

Special Olympics College Club programs are made up of three core elements: Unified Sports, Leadership, and opportunities for Full Campus Engagement. 

Together these components can help students work for and with Special Olympics athletes to transform school campuses into communities of acceptance and respect."
867,Speech and Debate Society,"The purpose of the Speech and Debate Society is to provide all University of Florida students the opportunity to enhance their education through speech and debate activities that include holding organizational meetings and social gatherings, competition in intercollegiate speech and debate tournaments, and campus and community involvement including but not limited to hosting public debate events and showcases, providing communication training, and participating in community service."
868,"Spirituality, Accessible for Everyone","Our goal is to demystify the topic of spirituality and introduce it to a broader audience, help students find like-minded people and give them a forum to discuss and enhance their spiritual journeys."
869,Spoon University,"Spoon University was established to serve as an online food publication written by college students, for college students. As a chapter of the national organization, Spoon University’s purpose is to be the resource for college students on navigating their way through both kitchens and Gainesville’s unique food scene."
870,Sports Analytics Club,"The purpose of the organization is to provide an opportunity for UF students to learn about, research and discuss sports analytics. Our goal is for UF students to have an outlet to develop an understanding and excellence in sports analytics."
871,Squash,The purpose of Squash is to hone squash skills in a supportive environment in preparation for competitive play against other college squash teams around the United States.
872,Sri Lankan Student Association,"The Sri Lankan Student Association serves to promote Sri Lankan culture and values
and foster an environment where anyone can learn more about it at the University of Florida."
873,Standing Room Only,Standing Room Only is a vocal jazz ensemble that aims to educate students about jazz music and performance while simultaneously bringing vocal jazz to the broader Gainesville community. This group will allow students to broaden their musical proficiency in vocal jazz while also facilitating leadership and teamwork abilities.
874,Statistics Club,"The Statistics Club is a pre-professional organization dedicated to providing experiences, opportunities, and education to anyone interested in the field of statistics. We regularly host guest speakers, workshops, and study sessions."
875,Stomp the Swamp,We are an organization that enriches the UF community by spreading the love of tap dance.
876,Student Academy of Audiology,"SAA is a professional student organization dedicated to the advancement of education and technological training in the profession of Audiology. SAA will provide Doctor of Audiology students with educational support and help promote the Au.D program, promote and encourage members to participate in community service projects in the local community, and provide hearing healthcare education to the local community."
877,Student Admissions Officers,"The mission and purpose of the Student Admissions Officers is to engage, impact, and recruit prospective students through meaningful interaction about the University of Florida. SAO is committed to serving the university through direct connections with the Division of Enrollment Management, the Office of Admissions, and campus and alumni organizations. The Student Admissions Officers are also committed to enhancing leadership and personal development amongst all Ambassadors, recognizing the importance of diversity on the University of Florida campus, seeking to diversify the campus community, and providing college access and increased retention for all students through outreach and service."
878,Student Advisory Council for Undergraduate Affairs,"The object of this Body shall be to represent the various program areas, organizations, academic units, and divisions related to undergraduate affairs at the University of Florida; to effectively communicate the vast array of information related to undergraduate academics to the various units and divisions of the University and student body; and to engage in programming related to undergraduate academics. In addition to serving as an informational resource, this body also engages in programming related to undergraduate academics as the need arises. As the members of this body shall serve as representatives of their respective program areas, organizations, academic units, and divisions, they may also act as liaisons to stakeholders invested in undergraduate academics both within and outside of the university."
879,Student Affairs Graduate Association,The purpose of the Student Affairs Graduate Association is to explore and promote academic and career issues related to higher education and provide opportunities for those interested in the field to develop personal and professional relationships.
880,Student Animal Alliance,"Student Animal Alliance is a not-for-profit student/community organization devoted to increasing public awareness of the unnecessary suffering experienced by non-human animals at the hands of humans, and what we can do to make it stop. SAA supports education regarding all the implications of our choices as consumers, including: health, environmental, economic, and humane. SAA is not anti-human, anti-farming, or anti-research. While we believe in disease prevention, environmental ethics, sustainable agriculture, and better science, we take a firm stance against the use of non-human animals as a means for human gain. The Student Animal Alliance seeks to achieve these goals of political and social change through education and demonstration, and by bringing the resources available in the community directly to the student body."
881,Student Association of Latin American Studies,To provide resources and community for students interested in the field of Latin American studies
882,Student Association of Veterinary Oncology,Student Association of Veterinary Oncology is established to promote the advancement of knowledge of veterinary oncology to better equip students in their professional careers.
883,Student Association of Veterinary Surgery,"To advance the art and science of surgery and promote excellence in animal health care through research, education and service to the public."
884,Student Chapter of the American Association of Equine Practitioners,"Purposes of this club shall be:
1. To enhance education opportunities for students interested in the field of equine medicine
2. To inform student of veterinary related problems affecting the equine industry
3. To create a network with the American Association of Equine Practitioners organization
4. To create links between practicing equine practitioners and students
5. To promote unity among students interested in the equine industry"
885,Student Chapter of the American Chemical Society,"Promote the interest and involvement of the university and local community in Chemistry, and provide access to professional information as part of the American Chemical Society affiliation, including employment services, career development resources, and professional journals."
886,Student Chapter of the American Holistic Veterinary Medical Association,"The goal of the Student Chapter of the American Holistic Veterinary Medical Association is to provide veterinary students with new and significant educational opportunities in integrative veterinary medicine, in hope that we can advance the field."
887,Student Chapter of the American Veterinary Medical Association,"1. To promote a spirit of friendly relations among the students regularly enrolled in the course of veterinary medicine. 
2. To provide an additional opportunity for the members to gain professional knowledge. 
3. To demonstrate the virtues of organized effort. 
4. To build character through the censorship of all unworthy actions of its members and the commendation of all worthy deeds. 
5. To uphold the honor and dignity of the veterinary profession.
6. To make available to the students the opportunities offered by the AVMA to its student chapters. 
7. To promote professional relations between the students and the faculty in the College of Veterinary Medicine. 
8. To maintain a willingness to abide by the University of Florida College of Veterinary Medicine rules and regulations as well as state and federal laws."
888,Student Chapter of the Association of Shelter Veterinarians,"The purpose of SCASV is to promote the importance of the specialty of shelter medicine in veterinary medicine and to raise student awareness of issues pertaining to homeless animals and pet overpopulation, which may include: 

o the mission of animal control and humane shelters and the role of the shelter veterinarian o prevention, management and control of infectious disease and trauma in the shelter setting 

o shelter animal behavioral evaluation, prevention and management of confinement related behavioral disorders, stress management, training and rehabilitation of shelter animals 

o high volume and early age spay/neuter, trap-neuter-release and other pet sterilization methods o the veterinarian’s role in animal cruelty recognition and reporting 

o To encourage camaraderie among veterinary students with an interest in animal shelter medicine  

o To provide educational opportunities for veterinary students related to the practice of shelter medicine through guest speakers, wet labs and other formats 

o To assist students in participating in externships with practicing shelter veterinarians 

o To provide a venue for veterinary students to support local shelters or other programs designed to help homeless animals 

o To create and maintain an affiliation between the Student Chapter members and members of the Association of Shelter Veterinarians (ASV) 

o To act as a communication link between practicing shelter veterinarians and veterinary students via the ASV newsletter and the ASV list serve 

o To allow mention of SCASV membership on curriculum vitae to demonstrate interest in shelter medicine to prospective veterinary employers"
889,Student Chapter of the National Association for Black Veterinarians,"The purpose of the Student chapter of the National Association of Black Veterinarians (SNABV) is to foster learning environments for all ages within and outside the veterinary community, serve the local communities through various outreach initiatives, and to provide a safe space for veterinary students of all African diaspora backgrounds. Our goal is foster a safe and welcoming environment for said students to find a support system, connect with leaders in the field that can relate to the experience of being a black professional in this career, and promote positive community involvement that will maintain a beneficial school-community relationship within and outside the veterinary field."
890,Student Chapter of the North American Veterinary Anesthesia Society,The Student Chapter of the North American Veterinary Anesthesia Society’s purpose is to foster supplemental learning opportunities and hands-on training through various wetlabs and presentations for future veterinarians in clinical application of anesthesia and analgesia. The club functions to promote the highest standards of clinical practice of veterinary anesthesia and analgesia and support scientific research and education.
891,Student Chapter of the Polymer and Polymer Materials Science and Engineering Divisions ACS,"The UF POLY/PMSE Chapter is affiliated to the ACS POLY and PMSE divisions that
provides networking, career development and opportunities to students and post-doctoral
associates in the polymer field."
892,Student Chapter of the Society for Theriogenology,The purpose of this organization is to educate students and the community about reproductive medicine.
893,Student Chapter of the Wildlife Disease Association,"The purpose of the Wildlife Disease Association Student Chapter is to acquire, disseminate, and apply knowledge of the health and diseases of wild animals in relation to their biology, conservation, and interactions with humans and domestic animals. The organization will provide crucial skills and networking opportunities to young professionals in the field of wildlife disease."
894,Student Chapter of Veterinary Diagnostic Imaging,To improve the quality of veterinary care by providing opportunities to further the education and experiences of veterinary students and assisting communities to improve their imaging technique.
895,Student College Council - Jacksonville,"The purpose of Student Council College of Pharmacy – Jacksonville is:
I. To represent the views and opinions of the students of the UFCOP to the Dean, faculty, administrative offices, and the University of Florida community. 
II. To report to our respective groups findings of our discussions and to report news of importance to the students and college faculty.
III. To assist in the advancement of pharmaceutical education and professionalism through cooperation with the college faculty and administration. 
IV. To encourage and implement projects of interest and value to the students of the UFCOP. These events will be sponsored in accordance with Student Government regulations.
V. Activities such as Service, Orientation, Student Directory, Peer Advisor, Award, Adopt-A-Road, and any other activities the Student Council College of Pharmacy – Jacksonville deems appropriate or necessary."
896,Student Dental Business Organization,To educate and support dental students pursuing practice ownership
897,Student Finance Group,"The purpose of Student Finance Group will be to focus on the various aspects of finance, with an emphasis on corporate finance topics, while giving members the opportunity to grow their leadership, professionalism, and overall finance knowledge. It will also provide a specific network for finance students to pursue top-notch internships and full-time opportunities."
898,Student Government,Represent the interests of the Student Body.
899,Student Government Senate,To represent the Student Body.
900,Student Honors Organization,"The Student Honors Organization is a board of Honors upper and underclassmen aimed at promoting academic and professional development, community engagement, and diversity and inclusivity within the University Honors Program."
901,Student Information Security Team,"To connect students to jobs, research, and competitions relating to the cybersecurity field"
902,Student Investment Club,"SIC focuses on educating members about investing through promoting sound fundamental investing techniques designed for long term wealth generation. To achieve this goal, we host weekly technical lessons, a semester-long professional speaker series, a simulated investment challenge, current event analysis, and market updates."
903,Student Money Skills Club,"The purpose of the Student Money Skills Club is to aid its members in developing the basic personal financial skills needed to be successful in life. We seek to provide students with comprehensive information on saving, budgeting, debt, and investing."
904,Student National Dental Association,"To promote and encourage an increase in minority enrollment in all dental schools
To be committed to the improvement of dental health care delivery to all disadvantaged people
To provide time and skill in assisting those programs within the greater community which required some measure of dental expertise
To contribute to the welfare of dental students
To educate and involve its members in the social, moral, and ethical obligations of the profession of dentistry"
905,Student National Pharmaceutical Association,"SNPhA is a pharmacy organization that serves students by offering opportunities to educate communities on better health practices, promote active participation in national healthcare issues, and grow professionally. The purpose of SNPhA is to plan, organize, coordinate, and execute programs geared toward the improvement of the health, educational, and social environment of minority communities."
906,Student National Pharmaceutical Association - Jacksonville,"The Student National Pharmaceutical Association- Jacksonville is dedicated to representing the views and ideals of minority pharmacists on critical issues affecting healthcare and pharmacy, as well as advancing the standards of pharmaceutical care among all practitioners. The Student National Pharmaceutical Association pledges to provide pharmacy students and undergraduate students the opportunity to develop leadership and professional skills and educate students about and promote active participation in national healthcare issues. Likewise, educating & supporting Jacksonville's underserved communities on better health practices, disease awareness, and donations."
907,Student Nursing Association,"The Student Nursing Association (SNA) is the College of Nursing’s pre-professional organization that allows students to grow through service, leadership, and mentor-ship. Its purpose is to prepare nursing students for the assumption of professional responsibilities. SNA empowers students to have an impact on issues that will affect them in each of their careers, wherever they may take them."
908,Student Occupational Therapy Association,"Section 1:
To develop professional identities within the field of occupational therapy among University of Florida Occupational Therapy Doctorate (OTD) students through participating in professional development events such as guest lectures, service experience and student panels.
Section 2:
To aid in building relations with other college and university departments, in the Health Science Center Complex, and community health care organizations through special projects and volunteer work.
Section 3:
 To help with further knowledge of the field of occupational therapy throughout the community and state by encouraging student representatives to attend state and national occupational therapy conventions."
909,Student Physical Therapy Association,"Organization for Physical Therapy students at the University of Florida
This organization is designed to: 
a.	Provide representation for the students in the doctorate of physical therapy program concerning interaction with faculty and the community
b.	Promote and increase awareness of the profession of physical therapy within the University and community
c.	Organize and promote activities for National Physical Therapy Week as set forth by the American Physical Therapy Association
d.	Increase community awareness of the special needs for the disabled population
e.	Participate in fundraising for charity organizations and community service events whenever possible"
910,Student Planning Association,The Student Planning Association (SPA) is a student-run organization within the Department of Urban and Regional Planning. All students in the URP program are eligible members and are encouraged to become involved throughout the year. Students in SPA are offered a variety of professional development opportunities and organize several social events each semester.
911,Student Society of Health-System Pharmacists - Gainesville,“The mission of the Florida Student Society of Health-System Pharmacists – Gainesville is to make students aware of pharmacy practice in health systems; provide information to students about career directions in and credentials needed for pharmacy practice in health systems; and encourage membership and participation in the Florida Society of Health-System Pharmacists (FSHP) and the American Society of Health-System Pharmacists (ASHP) as a student upon graduation.”
912,Student Society of Health-System Pharmacy-Orlando Campus,"We are the Student Society of Health-System Pharmacy at the University of Florida College of Pharmacy's Orlando Campus. Our chapter is dedicated to educating members about pharmacy career pathways in hospitals and health-systems, and providing professional development, networking, and service opportunities. We aspire to ignite passion within student pharmacists by creating opportunities to immerse themselves in the exploration of career pathways in health-system pharmacy practice. As a student organization, we aim to provide the tools and experiences our members need to pave the road to a pharmacy residency through clinical skill building, professional development and networking."
913,Student Veterinary Emergency and Critical Care Society,"The advancement of knowledge to students of veterinary medicine and students of veterinary technician training, and the promotion of the specialties of emergency medicine and critical care, both for the awareness of the members and in the community. To this end the SVECCS will function in the following capacities: 
Dissemination of information about the functioning of the VECCS to its membership, particularly in regards to policy changes, activities, symposiums, etc. To this end a newsletter will be published and distributed to all student members.  
Dissemination of information about the various student chapters for the purposes of informing the VECCS and the SVECCS of the activities therein, and for the chapters to garner information and enthusiasm from the activities of others. To this end a newsletter will be published and distributed to all student members.  
Provide the elected officers of the VECCS with a yearly report detailing the activities and finances of the SVECCS.  
Encourage the inclusion of emergency medicine and critical care topics in the curriculum for those colleges of veterinary medicine having student chapters.  
To make available to the individual chapters a comprehensive list of those veterinary clinics across the United States specializing in emergency medicine and or critical care and whom are willing to make preceptorships available to the membership of the SVECCS. This list will be maintained on the SVECCS web page.  
Encourage the pursuit of internships or residencies in emergency medicine and critical care by the SVECCS members.  
To encourage the membership to pursue activities related to emergency medicine and critical care, such that the membership is able to gain exposure and experience in this important topic prior to graduation."
914,Students Acting Through Art,"Students Acting Through Art is established for the purpose of raising awareness about current events in the world and human rights. Additionally, Students Acting Through Art encourages UF students to learn more about inclusivity, service, activism, and awareness through different, out of the box, mediums such as art."
915,Students Eat Right,The purpose of Students Eat Right is to provide an organization for students to join with the goal of advocating for public health matters as they relate to the field of dietetics.
916,Students for international Veterinary Opportunities,"Students for International Veterinary Opportunities (SIVO) is an academic non-profit 501(c)(3) organization led by veterinary students and doctors at the University of Florida College of Veterinary Medicine. We provide no-cost, basic veterinary care to locations outside of the United States. 
Currently, we travel annually to the island of Roatán, Honduras for our 3-day clinic to offer vaccines, basic medications, and sterilization surgeries for resident animals at no cost. We depend upon donations and student fundraising efforts to make this trip possible.
Last year, we provided medical services to roughly 300 animals, and we are in need of supplies and monetary donations to make our upcoming July trip as successful as possible! We appreciate any form of donation, including expired or unwanted supplies or medications."
917,Students for Justice in Palestine,"In stark recognition of the failure of modern society to produce a just and reasonable solution to the Palestine-Israel conflict, Students for Justice in Palestine is founded at the University of Florida as a human rights advocacy organization in order to promote public awareness and activism in our community.

In pursuit of this goal we aim to promote international law, human rights, and justice for all people affected by this conflict. We are directed at incorporating a diverse membership of people from all faiths and nationalities who believe in the attainability of peace."
918,Students for Life,"Members of Students for Life work to save lives threatened by induced abortion, euthanasia, and the destruction of human embryos for research. In furtherance of these goals, members seek to promote respect for life at the University of Florida and on a local, state, and national level, to educate on life issues, to help those in need so that life is a promising choice, and to work with others who share common goals."
919,Students for Salt,"Section One:  Students for Salt exists to grow as a community of Christ followers (Acts 2:42-27) committed to reaching the lost of all nations with the message of salvation through Jesus Christ (Matthew 28:19-20, Acts 1:8) and equipping believers for vital ministry (Ephesians 4:11-13, 1 Peter 4:10-11). We exist to make disciples who make disciples of Jesus Christ.  We are also affiliated with The Salt Company (“TSC”), a college ministry of Salt Church.  It is our goal to promote this ministry on the University of Florida’s campus."
